datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,pm2.5,no2,co2,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunriseEpoch,sunsetEpoch,moonphase,tempRange,heatIndex,severityScore,month,dayOfWeek,isWeekend,healthRiskScore
1725698482,74.46,63.16,69.33,74.97,62.98,69.97,35.37,27.44,450.20,62.42,79.96,0.39,103.54,25.32,22.61,13.68,233.08,1011.51,78.08,9.79,135.28,11.31,4.88,10.54,1725724475,1725691901,0.14,11.27,71.68,3.30,9,2,TRUE,9.61
1725654445,72.76,63.27,69.29,74.81,63.10,67.97,39.01,30.35,446.25,61.33,79.63,0.40,98.36,24.42,22.75,14.05,249.69,1010.66,79.13,9.84,127.84,11.72,4.90,11.09,1725706536,1725726034,0.17,11.09,71.83,3.26,9,2,TRUE,9.69
1725732360,89.00,63.49,74.33,89.46,62.94,74.65,37.87,35.16,483.77,59.34,66.86,-0.01,0.71,-0.44,15.73,9.35,327.98,1013.34,15.37,9.68,265.51,24.41,9.17,11.26,1725735710,1725711455,0.16,26.95,76.06,3.41,9,2,TRUE,9.89
1725716137,86.73,69.26,77.18,85.16,70.24,76.24,33.23,29.96,437.49,55.37,52.45,0.01,0.07,-0.86,26.05,14.29,19.17,1018.12,2.40,9.77,303.48,26.21,10.03,9.58,1725725394,1725764303,0.15,15.71,78.76,4.60,9,2,TRUE,10.20
1725677106,74.74,64.41,70.14,73.37,63.40,69.26,38.67,30.43,470.88,62.99,80.23,0.39,102.28,24.67,22.59,14.14,255.98,1011.83,78.96,9.50,124.89,11.06,5.16,10.42,1725735272,1725758127,0.17,9.65,70.20,3.31,9,2,TRUE,9.72
1725661696,86.86,70.11,77.95,84.59,67.40,76.94,32.77,30.13,443.96,56.09,51.04,0.02,-3.08,0.10,26.19,14.91,32.14,1017.70,3.47,10.06,300.21,25.95,9.68,10.00,1725714872,1725779296,0.17,16.07,78.18,4.61,9,2,TRUE,10.11
1725632204,92.42,73.84,81.19,89.57,73.99,81.74,22.98,21.80,441.81,58.24,49.95,0.01,4.59,-0.10,29.96,18.34,30.32,1014.14,11.71,9.73,287.22,24.27,9.05,10.28,1725741888,1725808006,0.17,19.03,83.00,4.66,9,2,TRUE,10.62
1725689681,62.73,50.95,57.08,64.18,51.37,58.64,14.24,19.08,388.99,42.90,54.83,-0.01,4.24,-0.04,26.33,17.93,336.56,1020.71,23.40,10.16,186.23,16.73,8.03,9.07,1725739959,1725788546,0.17,13.32,84.63,4.27,9,2,TRUE,10.78
1725681600,76.50,62.00,69.20,76.50,62.00,69.20,37.33,29.57,489.83,62.00,78.40,0.11,100.00,16.67,20.80,12.80,269.10,1011.70,81.00,9.90,112.30,9.70,5.00,10.00,1725705277,1725751302,0.15,14.50,71.08,3.09,9,2,TRUE,9.53
1725685200,63.20,50.30,58.10,63.20,50.30,58.10,24.67,22.36,416.83,42.10,55.80,0.00,2.00,0.00,26.40,18.30,343.40,1022.20,19.30,10.00,192.30,16.60,8.00,10.00,1725708181,1725754379,0.15,12.90,85.06,4.24,9,2,TRUE,10.87
1725694667,86.15,70.05,76.25,82.39,69.69,76.65,31.76,26.08,409.25,55.91,46.50,0.01,1.30,-0.85,26.11,15.05,34.20,1017.43,2.11,10.06,302.45,25.86,10.00,9.64,1725667565,1725766961,0.15,15.85,78.69,4.64,9,2,TRUE,10.16
1725630597,88.23,70.75,76.81,91.29,72.38,79.49,28.72,20.80,448.41,66.00,67.30,0.00,5.42,0.52,32.69,18.57,17.18,1013.67,37.98,10.13,194.64,16.53,9.07,9.62,1725703465,1725750128,0.16,17.84,80.36,5.08,9,2,TRUE,11.47
1725642242,85.14,69.07,78.47,85.07,70.53,76.22,30.61,30.12,467.46,56.00,52.04,0.00,-0.45,-0.88,26.57,14.82,20.03,1016.46,3.19,9.90,296.14,26.09,9.87,9.10,1725730435,1725787069,0.15,15.77,77.83,4.60,9,2,TRUE,10.11
1725708804,62.81,49.11,55.58,62.89,50.09,59.48,23.66,12.95,417.05,42.29,57.83,0.01,-0.71,0.39,26.19,18.62,349.84,1021.30,18.52,10.05,205.88,16.41,8.00,8.08,1725678602,1725819690,0.14,12.39,85.05,4.27,9,2,TRUE,10.83
1725677241,72.72,60.70,70.95,74.63,63.08,68.40,31.84,32.12,454.13,62.34,79.47,0.39,100.84,25.58,23.32,14.17,244.56,1012.18,76.59,9.75,129.31,11.82,5.05,11.00,1725739841,1725739776,0.15,11.12,71.01,3.38,9,2,TRUE,9.77
1725684100,64.15,50.26,57.56,63.68,49.03,59.49,15.55,21.19,428.75,39.37,56.41,-0.01,0.96,-0.35,26.31,18.22,337.86,1022.48,16.62,10.06,196.79,16.55,7.99,10.62,1725734952,1725782727,0.14,12.82,84.80,4.29,9,2,TRUE,10.86
1725677509,92.17,73.07,81.61,91.37,73.25,82.27,26.80,22.90,440.19,60.86,50.73,0.01,5.20,-0.50,28.93,18.32,30.56,1014.66,5.52,9.60,274.09,24.35,9.00,10.32,1725762472,1725759333,0.12,18.11,83.17,4.73,9,2,TRUE,10.52
1725685200,85.90,70.10,77.00,84.40,70.10,76.70,31.10,20.63,448.51,55.80,49.80,0.00,0.00,0.00,26.40,15.00,29.80,1017.70,2.80,10.00,299.40,25.80,10.00,10.00,1725710766,1725756205,0.15,15.80,78.59,4.64,9,2,TRUE,10.17
1725681600,74.00,63.10,69.40,74.00,63.10,69.40,37.41,32.35,482.82,62.50,78.80,0.40,100.00,25.00,23.00,13.90,249.70,1011.60,79.40,9.80,128.10,11.00,5.00,10.00,1725704964,1725751060,0.15,10.90,71.01,3.34,9,2,TRUE,9.73
1725731604,87.83,70.43,77.91,85.17,69.61,76.76,29.05,28.36,416.41,55.08,49.82,0.00,0.18,-0.17,25.77,15.12,34.01,1017.79,3.01,10.24,298.20,25.79,9.99,10.28,1725704484,1725701837,0.15,16.52,78.01,4.63,9,2,TRUE,10.12
1725684224,89.05,70.18,77.96,91.06,70.36,77.97,39.33,23.11,489.08,66.73,68.16,0.01,3.34,-0.82,32.02,18.15,20.35,1012.80,40.58,9.95,184.67,15.10,8.96,9.17,1725724173,1725796764,0.15,18.51,81.22,5.13,9,2,TRUE,11.49
1725715000,85.91,69.61,76.68,83.86,71.37,76.73,21.94,25.18,429.75,54.50,46.86,0.00,2.59,0.17,26.14,14.69,28.27,1017.70,3.15,9.98,306.53,25.67,10.04,10.71,1725706866,1725752032,0.15,15.79,78.33,4.61,9,2,TRUE,10.21
1725695738,63.81,49.91,58.91,62.21,51.63,58.76,13.95,13.67,403.68,42.22,56.74,0.00,1.27,0.24,27.23,18.00,347.99,1021.17,22.45,10.18,194.55,16.54,8.05,10.70,1725690875,1725726966,0.14,11.69,83.73,4.31,9,2,TRUE,10.94
1725649075,87.60,70.70,77.37,89.53,69.50,79.00,35.76,20.99,484.32,65.24,66.26,0.00,2.19,-0.87,33.52,18.77,32.51,1012.66,43.95,9.54,193.33,15.95,8.63,9.65,1725756336,1725800823,0.15,17.08,79.86,5.15,9,2,TRUE,11.42
1725753161,86.22,69.83,76.49,84.55,71.37,77.11,21.26,21.14,417.99,57.28,51.47,-0.02,-3.10,0.67,26.18,15.25,34.77,1018.33,2.85,10.03,296.82,26.02,10.16,9.79,1725705695,1725685552,0.15,16.00,78.31,4.67,9,2,TRUE,10.25
1725727201,106.35,90.50,97.41,102.69,88.85,95.57,30.58,26.28,437.90,49.41,21.88,0.00,3.22,-0.95,26.85,13.74,107.68,1008.61,26.50,9.88,254.04,22.67,8.84,8.12,1725750972,1725841084,0.15,14.59,96.03,4.39,9,2,TRUE,10.55
1725711540,91.53,71.44,80.84,89.88,73.18,81.35,31.47,28.15,454.76,62.42,50.24,0.00,-3.09,0.11,29.35,18.73,27.94,1013.59,9.05,10.21,275.28,24.38,9.17,8.11,1725733787,1725776761,0.16,17.78,83.02,4.74,9,2,TRUE,10.58
1725655006,62.87,49.61,57.56,64.30,48.83,58.62,17.07,19.48,425.39,40.57,56.11,0.00,3.59,0.20,26.70,18.37,344.72,1022.84,18.56,9.74,196.72,16.85,7.78,9.84,1725673580,1725712365,0.16,12.66,84.92,4.18,9,2,TRUE,10.94
1725714232,91.82,74.66,81.32,89.54,73.03,80.64,30.92,28.12,470.40,58.92,51.50,0.00,3.23,-0.06,28.65,18.36,39.09,1013.83,10.54,9.61,295.09,24.35,9.12,11.44,1725751485,1725716949,0.17,17.72,82.56,4.73,9,2,TRUE,10.62
1725728051,91.58,73.63,82.09,90.74,73.36,82.12,26.25,20.55,467.69,61.44,49.33,0.00,1.77,-0.13,29.78,17.95,23.09,1014.62,8.20,10.07,281.25,24.12,9.07,9.55,1725728669,1725736846,0.14,19.05,81.53,4.74,9,2,TRUE,10.65
1725692400,89.00,62.10,73.30,88.60,62.10,73.30,28.36,34.84,464.47,59.80,66.30,0.00,0.00,0.00,16.10,9.20,311.10,1012.20,12.00,10.00,267.70,23.40,9.00,10.00,1725716611,1725762394,0.16,26.90,75.84,3.41,9,2,TRUE,9.85
1725694580,87.68,69.27,79.02,91.60,68.74,79.13,40.52,27.91,483.82,66.02,70.69,0.00,5.67,0.89,32.93,17.61,22.15,1013.87,43.68,10.03,191.47,16.27,9.12,10.17,1725715846,1725756774,0.19,19.02,80.16,5.11,9,2,TRUE,11.32
1725749670,83.46,73.11,79.14,89.69,73.07,80.56,41.71,37.50,486.11,67.71,70.94,0.00,9.77,0.88,16.07,8.35,245.90,1008.58,48.24,9.99,236.14,19.65,8.04,11.51,1725684498,1725698375,0.16,12.75,80.17,3.10,9,2,TRUE,10.37
1725665444,88.33,62.91,73.74,88.85,61.25,73.45,34.44,29.13,475.19,60.45,63.99,0.01,0.20,-0.58,16.25,8.95,310.04,1012.14,14.39,10.20,268.46,23.50,9.02,10.64,1725717584,1725724411,0.15,27.51,77.01,3.39,9,2,TRUE,9.98
1725720456,62.93,50.04,56.85,64.50,50.10,57.75,11.94,19.11,426.54,42.20,55.61,0.00,2.54,-0.30,25.79,18.56,342.10,1022.07,19.48,10.43,196.90,16.57,7.70,10.31,1725811776,1725746862,0.13,12.70,84.55,4.19,9,2,TRUE,10.77
1725642512,87.44,62.60,72.90,88.90,60.19,73.38,29.49,32.97,456.34,60.50,66.87,0.01,1.46,0.82,15.95,8.82,330.18,1012.43,13.90,9.75,266.34,23.72,9.10,11.01,1725719632,1725840922,0.15,26.71,76.06,3.43,9,2,TRUE,9.79
1725700172,62.44,49.28,56.42,64.35,50.76,58.94,13.66,16.53,383.75,42.45,56.26,0.00,-1.40,-0.18,27.10,18.24,343.04,1022.25,21.50,9.70,193.24,16.65,7.90,8.85,1725699690,1725783996,0.17,11.91,84.39,4.28,9,2,TRUE,10.79
1725718155,62.04,51.05,57.44,62.85,52.39,58.45,23.51,12.40,423.85,43.09,55.00,0.00,2.80,-0.79,26.18,19.02,335.05,1022.76,20.76,10.23,191.21,16.43,7.86,10.15,1725753633,1725748735,0.15,12.81,84.96,4.24,9,2,TRUE,10.97
1725686421,105.09,89.92,99.03,104.31,87.49,98.19,30.53,25.08,460.39,50.33,20.38,0.01,5.90,-0.48,26.12,13.83,97.68,1009.78,25.47,9.91,257.76,21.86,9.05,9.73,1725682504,1725698482,0.20,15.01,96.20,4.49,9,2,TRUE,10.43
1725690782,72.89,63.21,70.88,74.93,62.82,68.63,38.56,29.74,453.44,59.68,82.12,0.40,98.71,24.85,22.99,13.51,263.83,1011.19,78.47,9.85,138.82,10.80,5.27,10.85,1725705327,1725736240,0.17,11.15,69.78,3.38,9,2,TRUE,9.72
1725746952,64.95,51.39,58.95,62.45,50.70,58.41,22.53,16.44,427.76,39.99,54.05,0.00,2.18,0.22,25.71,18.06,338.34,1021.82,17.37,9.80,193.03,16.68,8.07,10.36,1725687021,1725704043,0.15,12.03,85.51,4.23,9,2,TRUE,10.87
1725680029,102.27,74.62,84.94,103.66,74.79,86.54,41.66,30.68,432.92,63.12,49.05,0.00,2.16,0.57,6.57,5.66,240.83,1008.67,8.65,10.00,264.04,22.90,9.18,9.97,1725719198,1725732660,0.14,29.25,86.18,2.56,9,2,TRUE,10.07
1725722839,63.48,50.93,57.38,64.06,50.15,60.11,17.14,14.01,394.00,41.56,57.06,0.00,2.33,0.25,27.40,18.01,346.11,1022.50,17.43,10.07,188.02,16.96,8.01,11.58,1725675778,1725707969,0.16,11.97,84.64,4.20,9,2,TRUE,10.85
1725750503,85.92,70.97,75.98,85.81,71.34,76.72,29.78,23.01,437.48,55.33,50.20,0.00,1.33,-1.34,27.21,15.00,29.43,1017.28,0.87,10.06,291.71,25.95,9.90,12.29,1725692925,1725756863,0.16,16.42,79.23,4.63,9,2,TRUE,10.13
1725695512,86.70,70.58,77.08,88.57,68.74,79.19,26.35,30.47,466.24,66.00,66.36,0.01,0.91,-0.03,33.36,18.07,43.13,1012.31,40.04,9.85,192.17,15.89,8.88,10.67,1725736835,1725736043,0.13,17.98,79.34,5.16,9,2,TRUE,11.47
1725656277,88.62,70.44,77.10,91.48,68.41,79.41,27.98,30.53,472.22,65.58,66.24,0.01,2.99,-0.42,32.94,18.50,31.01,1012.68,38.82,10.13,187.54,16.53,9.33,8.26,1725706466,1725773284,0.16,18.23,79.96,5.14,9,2,TRUE,11.40
1725668867,85.39,69.12,76.88,82.73,69.66,75.62,33.79,28.40,448.52,54.72,52.92,0.01,-0.08,-1.26,26.05,15.45,20.05,1017.90,4.43,9.78,302.07,24.94,9.70,9.95,1725720039,1725701040,0.13,14.82,77.99,4.64,9,2,TRUE,10.15
1725685371,86.23,71.14,76.62,84.52,69.42,76.62,29.40,27.33,441.83,55.73,50.24,-0.01,-2.95,0.30,24.86,15.35,39.61,1018.26,6.57,10.24,303.90,25.29,10.15,9.87,1725730223,1725788118,0.16,15.97,78.76,4.78,9,2,TRUE,10.12
1725722203,105.61,89.83,98.57,103.82,88.61,96.85,32.40,27.49,419.31,51.93,23.08,0.01,2.97,0.47,26.11,13.78,111.59,1008.86,25.65,9.99,258.16,22.29,8.87,10.35,1725679192,1725780162,0.14,16.14,95.29,4.40,9,2,TRUE,10.52
1725694469,107.80,90.21,99.85,103.62,87.04,96.13,30.98,24.89,444.54,52.85,22.38,0.00,4.20,-0.37,25.95,13.94,120.48,1008.76,26.94,9.80,266.43,22.03,8.84,11.90,1725686694,1725713657,0.16,14.44,96.68,4.38,9,2,TRUE,10.59
1725636225,75.44,63.15,69.61,76.94,60.55,69.87,38.50,30.20,446.12,60.45,78.66,0.11,98.49,17.30,19.94,12.95,256.48,1011.49,85.99,9.91,115.28,9.17,4.99,10.44,1725703297,1725703604,0.15,15.54,71.09,3.05,9,2,TRUE,9.51
1725664589,74.32,64.67,68.77,73.78,63.30,68.68,29.85,26.68,457.44,61.18,81.08,0.40,98.88,24.42,23.65,13.80,243.87,1011.94,78.35,9.65,125.74,11.41,5.02,10.29,1725697126,1725699067,0.16,11.14,71.49,3.41,9,2,TRUE,9.70
1725685200,92.00,73.40,81.70,90.30,73.40,81.60,32.82,27.38,467.82,60.30,51.10,0.00,1.00,0.00,28.90,18.30,28.40,1014.50,7.30,10.00,282.70,24.30,9.00,10.00,1725711293,1725756496,0.15,18.60,82.60,4.69,9,2,TRUE,10.66
1725716745,72.43,55.67,60.76,73.38,54.23,61.97,23.87,26.46,414.24,45.66,56.40,0.01,0.48,-0.16,20.67,12.60,310.02,1015.93,1.13,10.35,279.11,24.54,7.80,9.68,1725745933,1725862871,0.15,16.80,79.33,3.74,9,3,TRUE,9.99
1725742914,86.65,75.07,81.45,89.35,75.59,81.64,29.45,31.17,476.87,66.04,60.30,0.00,10.79,-1.10,17.87,9.87,320.79,1008.66,31.47,9.94,255.42,21.39,8.08,15.20,1725839634,1725876247,0.20,9.70,83.19,3.35,9,3,TRUE,10.21
1725731391,72.95,53.13,62.86,71.01,55.58,62.44,27.90,24.96,400.93,43.39,51.86,0.00,-2.07,-0.49,22.80,14.05,302.08,1016.80,7.09,10.20,274.85,23.76,7.72,10.83,1725833737,1725852750,0.21,15.88,80.30,3.83,9,3,TRUE,10.32
1725785187,90.21,60.28,74.19,86.97,59.38,72.39,31.10,34.72,442.26,58.25,64.05,0.01,-0.43,0.86,13.38,7.95,320.54,1011.62,15.06,9.78,281.73,24.27,9.32,10.25,1725753756,1725948004,0.18,27.73,76.61,3.11,9,3,TRUE,9.62
1725794190,103.46,87.51,95.98,101.02,87.24,91.76,35.63,31.43,443.87,48.40,18.97,0.00,1.60,-0.16,21.96,12.59,90.81,1008.45,13.12,9.85,288.58,25.44,9.11,9.01,1725804363,1725835028,0.21,16.62,92.14,3.97,9,3,TRUE,9.91
1725759710,89.45,59.54,73.36,87.98,60.83,71.14,34.89,31.25,431.10,57.06,62.99,-0.01,-1.10,-0.61,14.25,8.10,299.96,1012.12,18.61,9.67,275.74,24.22,9.01,10.30,1725743205,1725826213,0.18,28.35,75.76,3.11,9,3,TRUE,9.46
1725788508,101.41,78.86,88.20,98.55,77.45,87.32,32.43,28.49,440.23,55.18,34.95,0.00,3.74,-0.11,7.02,5.59,241.81,1008.64,20.25,9.91,275.51,24.00,8.97,9.16,1725859267,1725846906,0.17,25.62,87.18,2.51,9,3,TRUE,9.43
1725768000,71.00,54.90,62.00,71.00,54.90,62.00,20.72,22.33,410.76,43.10,52.70,0.00,2.00,0.00,23.00,13.90,310.90,1017.70,5.40,10.10,278.20,24.00,8.00,10.00,1725791733,1725837605,0.19,16.10,80.84,3.90,9,3,TRUE,10.14
1725810248,102.77,87.32,95.11,99.37,85.24,92.62,28.56,29.69,409.74,49.48,22.16,0.01,3.70,0.34,21.18,12.62,115.31,1009.26,14.61,9.98,292.11,25.44,8.75,8.88,1725834359,1725855949,0.19,17.68,92.15,3.99,9,3,TRUE,10.10
1725785450,72.32,53.15,62.12,72.73,52.48,62.87,27.21,22.56,426.86,46.28,53.60,0.01,-4.90,0.31,16.21,11.29,261.65,1020.46,16.87,10.20,251.16,21.79,7.79,9.44,1725806274,1725814945,0.20,21.17,78.93,3.28,9,3,TRUE,9.74
1725720756,82.34,60.62,72.31,80.91,61.01,72.65,29.08,24.63,415.72,50.00,47.00,0.00,1.00,-0.41,17.47,10.22,51.88,1018.78,3.03,10.23,293.01,25.45,9.11,9.53,1725754811,1725933585,0.19,21.98,77.20,3.58,9,3,TRUE,9.40
1725797130,86.68,75.25,79.44,89.71,75.01,82.13,40.24,34.50,453.35,64.95,61.90,0.00,9.20,0.08,17.53,10.27,300.20,1009.17,29.73,9.99,244.76,22.22,7.84,15.89,1725800727,1725855499,0.18,9.26,83.74,3.35,9,3,TRUE,10.26
1725876326,103.02,76.23,87.52,100.85,78.84,86.23,28.39,28.90,442.86,54.94,35.17,0.01,6.39,-1.01,6.99,5.86,219.91,1008.82,20.07,10.15,278.46,25.30,9.04,9.12,1725784322,1725837783,0.21,23.96,86.25,2.55,9,3,TRUE,9.66
1725795984,70.58,50.46,62.76,71.75,50.21,63.53,25.44,28.58,433.65,43.70,56.47,-0.01,0.20,-0.80,15.96,11.48,251.25,1020.63,13.57,10.34,258.05,22.43,7.83,10.25,1725759200,1725852478,0.20,20.45,79.92,3.23,9,3,TRUE,9.73
1725811821,82.57,62.49,70.55,81.88,62.19,70.01,32.13,25.65,433.51,49.01,49.18,0.00,2.60,0.50,17.96,10.31,72.47,1018.62,4.05,9.98,305.87,25.56,8.95,9.73,1725747796,1725902059,0.20,22.33,77.81,3.48,9,3,TRUE,9.37
1725747134,86.75,66.61,76.58,84.25,65.84,76.67,21.13,28.67,450.54,50.98,43.06,-0.01,0.04,-1.85,23.43,13.89,22.00,1015.43,7.14,10.22,308.26,26.22,10.02,13.16,1725738110,1725876208,0.18,21.14,78.25,4.33,9,3,TRUE,9.60
1725762420,104.35,86.94,95.79,101.39,84.35,91.75,31.36,28.57,434.26,48.22,21.44,0.00,1.94,1.39,20.13,12.78,92.85,1008.56,16.35,9.75,291.06,25.03,9.12,10.04,1725767714,1725858212,0.17,16.93,92.56,3.87,9,3,TRUE,9.99
1725766310,85.53,76.78,80.09,89.96,76.31,81.69,39.71,33.49,452.42,65.66,60.57,0.01,8.38,0.55,16.83,10.30,308.43,1007.47,34.90,9.80,252.88,21.57,8.20,15.27,1725840709,1725837511,0.18,9.31,82.12,3.45,9,3,TRUE,10.25
1725740546,83.08,61.03,71.93,82.26,60.76,72.37,30.12,25.66,438.78,50.95,47.43,0.00,1.65,0.04,17.04,10.23,53.70,1018.32,3.22,10.56,293.11,25.05,9.04,9.51,1725820178,1725808466,0.16,22.39,76.14,3.51,9,3,TRUE,9.42
1725753195,102.97,78.22,89.30,101.36,76.72,87.30,41.38,34.20,462.17,54.95,35.71,0.01,8.17,-0.06,6.44,5.45,234.18,1009.20,24.64,10.02,292.40,24.37,8.71,10.10,1725806062,1725874410,0.18,25.23,86.67,2.49,9,3,TRUE,9.53
1725771600,85.90,69.00,77.50,85.70,69.00,77.50,37.10,23.69,428.78,59.00,53.60,0.00,9.00,0.00,21.90,15.00,35.10,1015.40,21.80,10.10,249.10,21.30,8.00,10.00,1725796963,1725842085,0.19,16.90,79.03,3.79,9,3,TRUE,9.93
1725746872,70.57,53.95,63.42,71.10,55.41,63.11,27.13,27.33,431.24,43.63,53.11,-0.01,3.07,0.42,19.93,13.12,309.57,1017.20,4.91,10.01,277.60,23.20,7.70,9.96,1725813635,1725820740,0.21,17.70,79.71,3.63,9,3,TRUE,9.97
1725794057,85.84,75.09,80.55,88.07,76.46,82.55,36.78,30.75,438.70,64.89,60.09,0.00,5.72,0.09,17.57,10.70,313.59,1008.85,30.37,9.51,244.55,21.37,7.83,13.61,1725782395,1725860241,0.17,10.19,82.35,3.30,9,3,TRUE,10.37
1725783210,84.34,60.77,70.46,80.62,61.55,71.01,32.75,22.41,423.42,49.48,48.13,0.00,0.71,0.05,16.67,10.17,51.05,1017.82,3.56,10.03,294.87,26.85,9.00,9.43,1725830229,1725792277,0.19,21.56,78.00,3.52,9,3,TRUE,9.39
1725742601,85.56,65.80,75.57,82.98,66.89,76.31,26.32,20.67,437.89,51.37,45.42,0.00,0.40,-0.31,23.42,13.33,34.00,1016.13,7.06,10.10,311.65,26.36,9.93,9.85,1725756731,1725801404,0.19,21.18,78.86,4.32,9,3,TRUE,9.55
1725759261,72.54,54.67,63.73,72.07,55.18,63.49,18.26,22.08,444.00,45.88,57.74,0.02,0.58,-0.15,21.25,12.63,305.52,1017.36,5.00,9.86,280.81,23.49,7.78,9.01,1725791806,1725797221,0.20,16.83,80.25,3.62,9,3,TRUE,10.01
1725771600,83.00,61.10,71.80,81.10,61.10,71.50,32.79,28.81,416.37,49.70,48.10,0.00,0.00,0.00,17.20,10.30,58.10,1018.40,3.90,10.10,298.40,25.70,9.00,10.00,1725797204,1725842525,0.19,21.90,76.97,3.52,9,3,TRUE,9.39
1725748866,71.55,54.48,63.84,72.27,54.59,63.99,28.59,21.94,419.85,45.98,57.62,0.01,0.69,-0.60,21.66,12.64,329.51,1016.57,10.06,9.81,280.49,24.34,8.04,9.59,1725805112,1725854764,0.18,17.29,79.20,3.73,9,3,TRUE,9.92
1725790030,84.58,69.60,77.54,85.60,68.22,76.28,28.76,29.83,430.65,61.60,51.80,0.01,6.03,-0.12,21.84,14.83,38.12,1015.14,22.10,9.91,255.94,21.07,7.99,9.54,1725760741,1725798504,0.19,17.23,78.45,3.78,9,3,TRUE,9.95
