datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunriseEpoch,sunsetEpoch,moonphase,tempRange,heatIndex,severityScore,month,dayOfWeek,isWeekend,healthRiskScore,airQualityOptimized
1725655206,89.55,62.22,74.64,90.32,63.0,73.32,60.29,70.54,-0.01,3.19,-1.0,16.69,9.05,318.09,1012.36,10.37,10.12,269.9,24.07,8.82,10.56,1725673373,1725773490,0.14,27.52,76.29,3.39,9,2,True,9.91,0.6983164069250151
1725654384,75.5,61.53,69.37,77.14,61.89,69.87,62.72,79.19,0.11,96.45,16.52,20.22,12.36,257.68,1011.65,82.85,9.57,100.77,9.88,5.28,9.86,1725767110,1725774607,0.16,14.68,70.84,3.11,9,2,True,9.6,0.5850864695170961
1725692400,103.0,75.0,86.2,103.1,75.0,86.2,61.5,48.3,0.0,3.0,0.0,6.9,5.8,237.0,1008.4,11.3,10.0,261.5,22.7,9.0,10.0,1725715868,1725761394,0.16,28.0,87.7,2.49,9,2,True,9.97,0.5626980416741941
1725698482,74.46,63.16,69.33,74.97,62.98,69.97,62.42,79.96,0.39,103.54,25.32,22.61,13.68,233.08,1011.51,78.08,9.79,135.28,11.31,4.88,10.54,1725724475,1725691901,0.14,11.27,71.68,3.3,9,2,True,9.61,0.5209623724360622
1725654445,72.76,63.27,69.29,74.81,63.1,67.97,61.33,79.63,0.4,98.36,24.42,22.75,14.05,249.69,1010.66,79.13,9.84,127.84,11.72,4.9,11.09,1725706536,1725726034,0.17,11.09,71.83,3.26,9,2,True,9.69,0.5736298761689697
1725732360,89.0,63.49,74.33,89.46,62.94,74.65,59.34,66.86,-0.01,0.71,-0.44,15.73,9.35,327.98,1013.34,15.37,9.68,265.51,24.41,9.17,11.26,1725735710,1725711455,0.16,26.95,76.06,3.41,9,2,True,9.89,0.7050677730848905
1725716137,86.73,69.26,77.18,85.16,70.24,76.24,55.37,52.45,0.01,0.07,-0.86,26.05,14.29,19.17,1018.12,2.4,9.77,303.48,26.21,10.03,9.58,1725725394,1725764303,0.15,15.71,78.76,4.6,9,2,True,10.2,0.5014257796333703
1725677106,74.74,64.41,70.14,73.37,63.4,69.26,62.99,80.23,0.39,102.28,24.67,22.59,14.14,255.98,1011.83,78.96,9.5,124.89,11.06,5.16,10.42,1725735272,1725758127,0.17,9.65,70.2,3.31,9,2,True,9.72,0.6293607174823977
1725661696,86.86,70.11,77.95,84.59,67.4,76.94,56.09,51.04,0.02,-3.08,0.1,26.19,14.91,32.14,1017.7,3.47,10.06,300.21,25.95,9.68,10.0,1725714872,1725779296,0.17,16.07,78.18,4.61,9,2,True,10.11,0.5146663509606509
1725632204,92.42,73.84,81.19,89.57,73.99,81.74,58.24,49.95,0.01,4.59,-0.1,29.96,18.34,30.32,1014.14,11.71,9.73,287.22,24.27,9.05,10.28,1725741888,1725808006,0.17,19.03,83.0,4.66,9,2,True,10.62,0.33757613667203046
1725689681,62.73,50.95,57.08,64.18,51.37,58.64,42.9,54.83,-0.01,4.24,-0.04,26.33,17.93,336.56,1020.71,23.4,10.16,186.23,16.73,8.03,9.07,1725739959,1725788546,0.17,13.32,84.63,4.27,9,2,True,10.78,0.11231963728833311
1725681600,76.5,62.0,69.2,76.5,62.0,69.2,62.0,78.4,0.11,100.0,16.67,20.8,12.8,269.1,1011.7,81.0,9.9,112.3,9.7,5.0,10.0,1725705277,1725751302,0.15,14.5,71.08,3.09,9,2,True,9.53,0.6532426089782448
1725685200,63.2,50.3,58.1,63.2,50.3,58.1,42.1,55.8,0.0,2.0,0.0,26.4,18.3,343.4,1022.2,19.3,10.0,192.3,16.6,8.0,10.0,1725708181,1725754379,0.15,12.9,85.06,4.24,9,2,True,10.87,0.29914908270296175
1725694667,86.15,70.05,76.25,82.39,69.69,76.65,55.91,46.5,0.01,1.3,-0.85,26.11,15.05,34.2,1017.43,2.11,10.06,302.45,25.86,10.0,9.64,1725667565,1725766961,0.15,15.85,78.69,4.64,9,2,True,10.16,0.3805416958919256
1725630597,88.23,70.75,76.81,91.29,72.38,79.49,66.0,67.3,0.0,5.42,0.52,32.69,18.57,17.18,1013.67,37.98,10.13,194.64,16.53,9.07,9.62,1725703465,1725750128,0.16,17.84,80.36,5.08,9,2,True,11.47,0.3890856466446258
1725642242,85.14,69.07,78.47,85.07,70.53,76.22,56.0,52.04,0.0,-0.45,-0.88,26.57,14.82,20.03,1016.46,3.19,9.9,296.14,26.09,9.87,9.1,1725730435,1725787069,0.15,15.77,77.83,4.6,9,2,True,10.11,0.551833574672249
1725708804,62.81,49.11,55.58,62.89,50.09,59.48,42.29,57.83,0.01,-0.71,0.39,26.19,18.62,349.84,1021.3,18.52,10.05,205.88,16.41,8.0,8.08,1725678602,1725819690,0.14,12.39,85.05,4.27,9,2,True,10.83,0.18772260541005922
1725677241,72.72,60.7,70.95,74.63,63.08,68.4,62.34,79.47,0.39,100.84,25.58,23.32,14.17,244.56,1012.18,76.59,9.75,129.31,11.82,5.05,11.0,1725739841,1725739776,0.15,11.12,71.01,3.38,9,2,True,9.77,0.5527590207305181
1725684100,64.15,50.26,57.56,63.68,49.03,59.49,39.37,56.41,-0.01,0.96,-0.35,26.31,18.22,337.86,1022.48,16.62,10.06,196.79,16.55,7.99,10.62,1725734952,1725782727,0.14,12.82,84.8,4.29,9,2,True,10.86,0.23935241781746264
1725677509,92.17,73.07,81.61,91.37,73.25,82.27,60.86,50.73,0.01,5.2,-0.5,28.93,18.32,30.56,1014.66,5.52,9.6,274.09,24.35,9.0,10.32,1725762472,1725759333,0.12,18.11,83.17,4.73,9,2,True,10.52,0.37723429417836224
1725685200,85.9,70.1,77.0,84.4,70.1,76.7,55.8,49.8,0.0,0.0,0.0,26.4,15.0,29.8,1017.7,2.8,10.0,299.4,25.8,10.0,10.0,1725710766,1725756205,0.15,15.8,78.59,4.64,9,2,True,10.17,0.4069680015059103
1725681600,74.0,63.1,69.4,74.0,63.1,69.4,62.5,78.8,0.4,100.0,25.0,23.0,13.9,249.7,1011.6,79.4,9.8,128.1,11.0,5.0,10.0,1725704964,1725751060,0.15,10.9,71.01,3.34,9,2,True,9.73,0.6681176943012012
1725731604,87.83,70.43,77.91,85.17,69.61,76.76,55.08,49.82,0.0,0.18,-0.17,25.77,15.12,34.01,1017.79,3.01,10.24,298.2,25.79,9.99,10.28,1725704484,1725701837,0.15,16.52,78.01,4.63,9,2,True,10.12,0.4001852628446587
1725684224,89.05,70.18,77.96,91.06,70.36,77.97,66.73,68.16,0.01,3.34,-0.82,32.02,18.15,20.35,1012.8,40.58,9.95,184.67,15.1,8.96,9.17,1725724173,1725796764,0.15,18.51,81.22,5.13,9,2,True,11.49,0.5967306347992744
1725715000,85.91,69.61,76.68,83.86,71.37,76.73,54.5,46.86,0.0,2.59,0.17,26.14,14.69,28.27,1017.7,3.15,9.98,306.53,25.67,10.04,10.71,1725706866,1725752032,0.15,15.79,78.33,4.61,9,2,True,10.21,0.33805641418580495
1725695738,63.81,49.91,58.91,62.21,51.63,58.76,42.22,56.74,0.0,1.27,0.24,27.23,18.0,347.99,1021.17,22.45,10.18,194.55,16.54,8.05,10.7,1725690875,1725726966,0.14,11.69,83.73,4.31,9,2,True,10.94,0.08472345164364031
1725649075,87.6,70.7,77.37,89.53,69.5,79.0,65.24,66.26,0.0,2.19,-0.87,33.52,18.77,32.51,1012.66,43.95,9.54,193.33,15.95,8.63,9.65,1725756336,1725800823,0.15,17.08,79.86,5.15,9,2,True,11.42,0.5329567841364179
1725753161,86.22,69.83,76.49,84.55,71.37,77.11,57.28,51.47,-0.02,-3.1,0.67,26.18,15.25,34.77,1018.33,2.85,10.03,296.82,26.02,10.16,9.79,1725705695,1725685552,0.15,16.0,78.31,4.67,9,2,True,10.25,0.2604554323784484
1725727201,106.35,90.5,97.41,102.69,88.85,95.57,49.41,21.88,0.0,3.22,-0.95,26.85,13.74,107.68,1008.61,26.5,9.88,254.04,22.67,8.84,8.12,1725750972,1725841084,0.15,14.59,96.03,4.39,9,2,True,10.55,0.4401121203031096
1725711540,91.53,71.44,80.84,89.88,73.18,81.35,62.42,50.24,0.0,-3.09,0.11,29.35,18.73,27.94,1013.59,9.05,10.21,275.28,24.38,9.17,8.11,1725733787,1725776761,0.16,17.78,83.02,4.74,9,2,True,10.58,0.5074664492167392
1725655006,62.87,49.61,57.56,64.3,48.83,58.62,40.57,56.11,0.0,3.59,0.2,26.7,18.37,344.72,1022.84,18.56,9.74,196.72,16.85,7.78,9.84,1725673580,1725712365,0.16,12.66,84.92,4.18,9,2,True,10.94,0.2251199013933526
1725714232,91.82,74.66,81.32,89.54,73.03,80.64,58.92,51.5,0.0,3.23,-0.06,28.65,18.36,39.09,1013.83,10.54,9.61,295.09,24.35,9.12,11.44,1725751485,1725716949,0.17,17.72,82.56,4.73,9,2,True,10.62,0.5392250310294004
1725728051,91.58,73.63,82.09,90.74,73.36,82.12,61.44,49.33,0.0,1.77,-0.13,29.78,17.95,23.09,1014.62,8.2,10.07,281.25,24.12,9.07,9.55,1725728669,1725736846,0.14,19.05,81.53,4.74,9,2,True,10.65,0.4111909621708996
1725692400,89.0,62.1,73.3,88.6,62.1,73.3,59.8,66.3,0.0,0.0,0.0,16.1,9.2,311.1,1012.2,12.0,10.0,267.7,23.4,9.0,10.0,1725716611,1725762394,0.16,26.9,75.84,3.41,9,2,True,9.85,0.5783755833097703
1725694580,87.68,69.27,79.02,91.6,68.74,79.13,66.02,70.69,0.0,5.67,0.89,32.93,17.61,22.15,1013.87,43.68,10.03,191.47,16.27,9.12,10.17,1725715846,1725756774,0.19,19.02,80.16,5.11,9,2,True,11.32,0.6470569396837738
1725749670,83.46,73.11,79.14,89.69,73.07,80.56,67.71,70.94,0.0,9.77,0.88,16.07,8.35,245.9,1008.58,48.24,9.99,236.14,19.65,8.04,11.51,1725684498,1725698375,0.16,12.75,80.17,3.1,9,2,True,10.37,0.7678164287434387
1725665444,88.33,62.91,73.74,88.85,61.25,73.45,60.45,63.99,0.01,0.2,-0.58,16.25,8.95,310.04,1012.14,14.39,10.2,268.46,23.5,9.02,10.64,1725717584,1725724411,0.15,27.51,77.01,3.39,9,2,True,9.98,0.5904316188487216
1725720456,62.93,50.04,56.85,64.5,50.1,57.75,42.2,55.61,0.0,2.54,-0.3,25.79,18.56,342.1,1022.07,19.48,10.43,196.9,16.57,7.7,10.31,1725811776,1725746862,0.13,12.7,84.55,4.19,9,2,True,10.77,0.1816585337342341
1725642512,87.44,62.6,72.9,88.9,60.19,73.38,60.5,66.87,0.01,1.46,0.82,15.95,8.82,330.18,1012.43,13.9,9.75,266.34,23.72,9.1,11.01,1725719632,1725840922,0.15,26.71,76.06,3.43,9,2,True,9.79,0.5480191504573637
1725700172,62.44,49.28,56.42,64.35,50.76,58.94,42.45,56.26,0.0,-1.4,-0.18,27.1,18.24,343.04,1022.25,21.5,9.7,193.24,16.65,7.9,8.85,1725699690,1725783996,0.17,11.91,84.39,4.28,9,2,True,10.79,0.0672100587120306
1725718155,62.04,51.05,57.44,62.85,52.39,58.45,43.09,55.0,0.0,2.8,-0.79,26.18,19.02,335.05,1022.76,20.76,10.23,191.21,16.43,7.86,10.15,1725753633,1725748735,0.15,12.81,84.96,4.24,9,2,True,10.97,0.19634682024793246
1725686421,105.09,89.92,99.03,104.31,87.49,98.19,50.33,20.38,0.01,5.9,-0.48,26.12,13.83,97.68,1009.78,25.47,9.91,257.76,21.86,9.05,9.73,1725682504,1725698482,0.2,15.01,96.2,4.49,9,2,True,10.43,0.4791135919426303
1725690782,72.89,63.21,70.88,74.93,62.82,68.63,59.68,82.12,0.4,98.71,24.85,22.99,13.51,263.83,1011.19,78.47,9.85,138.82,10.8,5.27,10.85,1725705327,1725736240,0.17,11.15,69.78,3.38,9,2,True,9.72,0.5800451875346134
1725746952,64.95,51.39,58.95,62.45,50.7,58.41,39.99,54.05,0.0,2.18,0.22,25.71,18.06,338.34,1021.82,17.37,9.8,193.03,16.68,8.07,10.36,1725687021,1725704043,0.15,12.03,85.51,4.23,9,2,True,10.87,0.24196200852505736
1725680029,102.27,74.62,84.94,103.66,74.79,86.54,63.12,49.05,0.0,2.16,0.57,6.57,5.66,240.83,1008.67,8.65,10.0,264.04,22.9,9.18,9.97,1725719198,1725732660,0.14,29.25,86.18,2.56,9,2,True,10.07,0.567806181360594
1725722839,63.48,50.93,57.38,64.06,50.15,60.11,41.56,57.06,0.0,2.33,0.25,27.4,18.01,346.11,1022.5,17.43,10.07,188.02,16.96,8.01,11.58,1725675778,1725707969,0.16,11.97,84.64,4.2,9,2,True,10.85,0.09198065527815284
1725750503,85.92,70.97,75.98,85.81,71.34,76.72,55.33,50.2,0.0,1.33,-1.34,27.21,15.0,29.43,1017.28,0.87,10.06,291.71,25.95,9.9,12.29,1725692925,1725756863,0.16,16.42,79.23,4.63,9,2,True,10.13,0.39654642049969385
1725695512,86.7,70.58,77.08,88.57,68.74,79.19,66.0,66.36,0.01,0.91,-0.03,33.36,18.07,43.13,1012.31,40.04,9.85,192.17,15.89,8.88,10.67,1725736835,1725736043,0.13,17.98,79.34,5.16,9,2,True,11.47,0.5178931012883053
1725656277,88.62,70.44,77.1,91.48,68.41,79.41,65.58,66.24,0.01,2.99,-0.42,32.94,18.5,31.01,1012.68,38.82,10.13,187.54,16.53,9.33,8.26,1725706466,1725773284,0.16,18.23,79.96,5.14,9,2,True,11.4,0.5459176587799831
1725668867,85.39,69.12,76.88,82.73,69.66,75.62,54.72,52.92,0.01,-0.08,-1.26,26.05,15.45,20.05,1017.9,4.43,9.78,302.07,24.94,9.7,9.95,1725720039,1725701040,0.13,14.82,77.99,4.64,9,2,True,10.15,0.5146465914528534
1725685371,86.23,71.14,76.62,84.52,69.42,76.62,55.73,50.24,-0.01,-2.95,0.3,24.86,15.35,39.61,1018.26,6.57,10.24,303.9,25.29,10.15,9.87,1725730223,1725788118,0.16,15.97,78.76,4.78,9,2,True,10.12,0.4511969217514218
1725722203,105.61,89.83,98.57,103.82,88.61,96.85,51.93,23.08,0.01,2.97,0.47,26.11,13.78,111.59,1008.86,25.65,9.99,258.16,22.29,8.87,10.35,1725679192,1725780162,0.14,16.14,95.29,4.4,9,2,True,10.52,0.42486517143860847
1725694469,107.8,90.21,99.85,103.62,87.04,96.13,52.85,22.38,0.0,4.2,-0.37,25.95,13.94,120.48,1008.76,26.94,9.8,266.43,22.03,8.84,11.9,1725686694,1725713657,0.16,14.44,96.68,4.38,9,2,True,10.59,0.4436199238794174
1725636225,75.44,63.15,69.61,76.94,60.55,69.87,60.45,78.66,0.11,98.49,17.3,19.94,12.95,256.48,1011.49,85.99,9.91,115.28,9.17,4.99,10.44,1725703297,1725703604,0.15,15.54,71.09,3.05,9,2,True,9.51,0.5674902373104547
1725664589,74.32,64.67,68.77,73.78,63.3,68.68,61.18,81.08,0.4,98.88,24.42,23.65,13.8,243.87,1011.94,78.35,9.65,125.74,11.41,5.02,10.29,1725697126,1725699067,0.16,11.14,71.49,3.41,9,2,True,9.7,0.4842577001316167
1725685200,92.0,73.4,81.7,90.3,73.4,81.6,60.3,51.1,0.0,1.0,0.0,28.9,18.3,28.4,1014.5,7.3,10.0,282.7,24.3,9.0,10.0,1725711293,1725756496,0.15,18.6,82.6,4.69,9,2,True,10.66,0.5406198154146291
1725716745,72.43,55.67,60.76,73.38,54.23,61.97,45.66,56.4,0.01,0.48,-0.16,20.67,12.6,310.02,1015.93,1.13,10.35,279.11,24.54,7.8,9.68,1725745933,1725862871,0.15,16.8,79.33,3.74,9,3,True,9.99,0.3316905044364475
1725742914,86.65,75.07,81.45,89.35,75.59,81.64,66.04,60.3,0.0,10.79,-1.1,17.87,9.87,320.79,1008.66,31.47,9.94,255.42,21.39,8.08,15.2,1725839634,1725876247,0.2,9.7,83.19,3.35,9,3,True,10.21,0.5759065311921631
1725731391,72.95,53.13,62.86,71.01,55.58,62.44,43.39,51.86,0.0,-2.07,-0.49,22.8,14.05,302.08,1016.8,7.09,10.2,274.85,23.76,7.72,10.83,1725833737,1725852750,0.21,15.88,80.3,3.83,9,3,True,10.32,0.3170738853504122
1725785187,90.21,60.28,74.19,86.97,59.38,72.39,58.25,64.05,0.01,-0.43,0.86,13.38,7.95,320.54,1011.62,15.06,9.78,281.73,24.27,9.32,10.25,1725753756,1725948004,0.18,27.73,76.61,3.11,9,3,True,9.62,0.5475523588980126
1725794190,103.46,87.51,95.98,101.02,87.24,91.76,48.4,18.97,0.0,1.6,-0.16,21.96,12.59,90.81,1008.45,13.12,9.85,288.58,25.44,9.11,9.01,1725804363,1725835028,0.21,16.62,92.14,3.97,9,3,True,9.91,0.5522340760897303
1725759710,89.45,59.54,73.36,87.98,60.83,71.14,57.06,62.99,-0.01,-1.1,-0.61,14.25,8.1,299.96,1012.12,18.61,9.67,275.74,24.22,9.01,10.3,1725743205,1725826213,0.18,28.35,75.76,3.11,9,3,True,9.46,0.5142977789501519
1725788508,101.41,78.86,88.2,98.55,77.45,87.32,55.18,34.95,0.0,3.74,-0.11,7.02,5.59,241.81,1008.64,20.25,9.91,275.51,24.0,8.97,9.16,1725859267,1725846906,0.17,25.62,87.18,2.51,9,3,True,9.43,0.4850831623302165
1725768000,71.0,54.9,62.0,71.0,54.9,62.0,43.1,52.7,0.0,2.0,0.0,23.0,13.9,310.9,1017.7,5.4,10.1,278.2,24.0,8.0,10.0,1725791733,1725837605,0.19,16.1,80.84,3.9,9,3,True,10.14,0.2522155080907784
1725810248,102.77,87.32,95.11,99.37,85.24,92.62,49.48,22.16,0.01,3.7,0.34,21.18,12.62,115.31,1009.26,14.61,9.98,292.11,25.44,8.75,8.88,1725834359,1725855949,0.19,17.68,92.15,3.99,9,3,True,10.1,0.39520812676066064
1725785450,72.32,53.15,62.12,72.73,52.48,62.87,46.28,53.6,0.01,-4.9,0.31,16.21,11.29,261.65,1020.46,16.87,10.2,251.16,21.79,7.79,9.44,1725806274,1725814945,0.2,21.17,78.93,3.28,9,3,True,9.74,0.34565741567591246
1725720756,82.34,60.62,72.31,80.91,61.01,72.65,50.0,47.0,0.0,1.0,-0.41,17.47,10.22,51.88,1018.78,3.03,10.23,293.01,25.45,9.11,9.53,1725754811,1725933585,0.19,21.98,77.2,3.58,9,3,True,9.4,0.35772826541853914
1725797130,86.68,75.25,79.44,89.71,75.01,82.13,64.95,61.9,0.0,9.2,0.08,17.53,10.27,300.2,1009.17,29.73,9.99,244.76,22.22,7.84,15.89,1725800727,1725855499,0.18,9.26,83.74,3.35,9,3,True,10.26,0.6460485570267197
1725876326,103.02,76.23,87.52,100.85,78.84,86.23,54.94,35.17,0.01,6.39,-1.01,6.99,5.86,219.91,1008.82,20.07,10.15,278.46,25.3,9.04,9.12,1725784322,1725837783,0.21,23.96,86.25,2.55,9,3,True,9.66,0.46261773090772035
1725795984,70.58,50.46,62.76,71.75,50.21,63.53,43.7,56.47,-0.01,0.2,-0.8,15.96,11.48,251.25,1020.63,13.57,10.34,258.05,22.43,7.83,10.25,1725759200,1725852478,0.2,20.45,79.92,3.23,9,3,True,9.73,0.41334359660523606
1725811821,82.57,62.49,70.55,81.88,62.19,70.01,49.01,49.18,0.0,2.6,0.5,17.96,10.31,72.47,1018.62,4.05,9.98,305.87,25.56,8.95,9.73,1725747796,1725902059,0.2,22.33,77.81,3.48,9,3,True,9.37,0.4356121888415627
1725747134,86.75,66.61,76.58,84.25,65.84,76.67,50.98,43.06,-0.01,0.04,-1.85,23.43,13.89,22.0,1015.43,7.14,10.22,308.26,26.22,10.02,13.16,1725738110,1725876208,0.18,21.14,78.25,4.33,9,3,True,9.6,0.41850936874503614
1725762420,104.35,86.94,95.79,101.39,84.35,91.75,48.22,21.44,0.0,1.94,1.39,20.13,12.78,92.85,1008.56,16.35,9.75,291.06,25.03,9.12,10.04,1725767714,1725858212,0.17,16.93,92.56,3.87,9,3,True,9.99,0.4632173722674275
1725766310,85.53,76.78,80.09,89.96,76.31,81.69,65.66,60.57,0.01,8.38,0.55,16.83,10.3,308.43,1007.47,34.9,9.8,252.88,21.57,8.2,15.27,1725840709,1725837511,0.18,9.31,82.12,3.45,9,3,True,10.25,0.6283992905752941
1725740546,83.08,61.03,71.93,82.26,60.76,72.37,50.95,47.43,0.0,1.65,0.04,17.04,10.23,53.7,1018.32,3.22,10.56,293.11,25.05,9.04,9.51,1725820178,1725808466,0.16,22.39,76.14,3.51,9,3,True,9.42,0.4315688028779208
1725753195,102.97,78.22,89.3,101.36,76.72,87.3,54.95,35.71,0.01,8.17,-0.06,6.44,5.45,234.18,1009.2,24.64,10.02,292.4,24.37,8.71,10.1,1725806062,1725874410,0.18,25.23,86.67,2.49,9,3,True,9.53,0.6727345276511197
1725771600,85.9,69.0,77.5,85.7,69.0,77.5,59.0,53.6,0.0,9.0,0.0,21.9,15.0,35.1,1015.4,21.8,10.1,249.1,21.3,8.0,10.0,1725796963,1725842085,0.19,16.9,79.03,3.79,9,3,True,9.93,0.44371697768974294
1725746872,70.57,53.95,63.42,71.1,55.41,63.11,43.63,53.11,-0.01,3.07,0.42,19.93,13.12,309.57,1017.2,4.91,10.01,277.6,23.2,7.7,9.96,1725813635,1725820740,0.21,17.7,79.71,3.63,9,3,True,9.97,0.4077957908428696
1725794057,85.84,75.09,80.55,88.07,76.46,82.55,64.89,60.09,0.0,5.72,0.09,17.57,10.7,313.59,1008.85,30.37,9.51,244.55,21.37,7.83,13.61,1725782395,1725860241,0.17,10.19,82.35,3.3,9,3,True,10.37,0.5420771926590797
1725783210,84.34,60.77,70.46,80.62,61.55,71.01,49.48,48.13,0.0,0.71,0.05,16.67,10.17,51.05,1017.82,3.56,10.03,294.87,26.85,9.0,9.43,1725830229,1725792277,0.19,21.56,78.0,3.52,9,3,True,9.39,0.3813945287177232
1725742601,85.56,65.8,75.57,82.98,66.89,76.31,51.37,45.42,0.0,0.4,-0.31,23.42,13.33,34.0,1016.13,7.06,10.1,311.65,26.36,9.93,9.85,1725756731,1725801404,0.19,21.18,78.86,4.32,9,3,True,9.55,0.3433500209460325
1725759261,72.54,54.67,63.73,72.07,55.18,63.49,45.88,57.74,0.02,0.58,-0.15,21.25,12.63,305.52,1017.36,5.0,9.86,280.81,23.49,7.78,9.01,1725791806,1725797221,0.2,16.83,80.25,3.62,9,3,True,10.01,0.30707157062771984
1725771600,83.0,61.1,71.8,81.1,61.1,71.5,49.7,48.1,0.0,0.0,0.0,17.2,10.3,58.1,1018.4,3.9,10.1,298.4,25.7,9.0,10.0,1725797204,1725842525,0.19,21.9,76.97,3.52,9,3,True,9.39,0.4357245481936101
1725748866,71.55,54.48,63.84,72.27,54.59,63.99,45.98,57.62,0.01,0.69,-0.6,21.66,12.64,329.51,1016.57,10.06,9.81,280.49,24.34,8.04,9.59,1725805112,1725854764,0.18,17.29,79.2,3.73,9,3,True,9.92,0.3337420471370625
1725790030,84.58,69.6,77.54,85.6,68.22,76.28,61.6,51.8,0.01,6.03,-0.12,21.84,14.83,38.12,1015.14,22.1,9.91,255.94,21.07,7.99,9.54,1725760741,1725798504,0.19,17.23,78.45,3.78,9,3,True,9.95,0.44732362063918124
1725769804,88.99,60.07,71.29,89.29,59.23,71.55,59.69,64.6,0.01,-2.41,-0.2,14.22,8.49,301.99,1012.25,21.05,9.53,275.86,23.61,8.91,9.34,1725811143,1725767419,0.19,28.61,75.06,3.21,9,3,True,9.56,0.6385654629972021
1725847102,103.51,78.66,88.39,100.97,79.08,86.37,55.12,35.36,0.0,4.62,0.66,6.61,6.09,237.66,1008.4,24.2,9.81,288.83,24.92,8.97,9.38,1725791033,1725877174,0.18,25.52,87.53,2.46,9,3,True,9.64,0.5074082164707946
1725759732,88.44,76.51,80.02,91.35,75.02,82.37,66.71,62.63,0.01,8.62,-0.41,17.83,10.36,310.54,1007.87,32.34,9.64,256.12,22.26,8.15,13.21,1725764269,1725857906,0.19,9.45,82.24,3.25,9,3,True,10.26,0.634909363687818
1725756003,72.62,54.21,61.75,72.46,54.62,62.94,44.59,53.31,-0.01,0.65,1.34,20.27,12.41,298.31,1017.14,5.28,9.93,261.83,24.79,8.14,9.84,1725775130,1725869944,0.19,17.57,79.09,3.66,9,3,True,9.99,0.258254950691532
